1s,abstract,access,acm,ai,al,algorithm,allow,analysi,ani,appli,applic,approach,architectur,argument,artifici,automat,backtrack,bas,base,basic,becaus,case,class,claus,code,compil,complex,compon,comput,concept,concurr,consid,consist,constraint,construct,control,current,data,databas,declar,deduct,defin,definit,describ,descript,design,develop,differ,direct,discuss,doe,effici,engin,environ,et,evalu,exampl,execut,expert,express,extend,extens,fact,featur,figur,follow,form,formal,function,gener,given,goal,grammar,graph,ha,high,horn,howev,implement,includ,infer,inform,integr,intellig,interfac,intern,interpret,introduct,knowledg,languag,larg,level,like,linguist,lisp,list,logic,machin,make,manag,mani,match,mean,mechan,memori,method,model,natur,new,non,number,object,onli,oper,optim,order,ori,paper,parallel,pars,parser,pascal,perform,possibl,power,pp,predic,present,problem,procedur,process,processor,program,project,prolog,propos,prototyp,provid,queri,reason,recurs,relat,report,repres,represent,requir,research,result,rule,run,scienc,search,second,section,semant,set,sever,similar,simpl,simul,softwar,solut,solv,special,specif,standard,state,strategi,structur,support,symbol,syntax,techniqu,term,test,text,th,theori,thi,thu,time,tool,transform,translat,tree,type,unif,univers,use,user,valu,variabl,veri,version,view,wa,way,work,written
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9650468609811158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26207738572890044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4963528478667823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035714495772424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4504671290805746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2360093883137227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637935384241138,0.0,0.5038459317854507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.16483667927167292,0.07993993693187267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12638806710913975,0.0,0.0,0.0,0.0,0.0,0.13936795509435831,0.0,0.0,0.0,0.0,0.05860364576018085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15072476531617182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5115192922146641,0.14867210243995777,0.0,0.0,0.14201949306603887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12023684835319491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1210940981030544,0.0,0.0,0.0,0.0,0.4146062409237299,0.0,0.0,0.0,0.0,0.12963601375496286,0.0,0.0,0.0,0.0,0.3703697170788426,0.0,0.2749531031833547,0.0,0.0,0.0,0.0,0.0,0.0,0.12060195081681155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576180330840137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13858686997638692,0.0,0.0,0.0,0.0,0.07940440262105158,0.0,0.13897546950550335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21124790078465794,0.0,0.0,0.0,0.14441209274280564,0.0,0.0,0.12458800909515107,0.07176254465040288,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08737496563329616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33821535174577666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870057883902967,0.22001697726880257,0.08924351848498711,0.0,0.0,0.2515932733642031,0.0,0.0,0.0,0.0,0.0,0.3750633782165308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11285197186900965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34096970953079375,0.0,0.0,0.0,0.0,0.0,0.0,0.2829346778195343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22119912459018776,0.0,0.0,0.22731313968719585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14823311238405992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22358229278957112,0.0,0.0,0.26198727534986577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13270732472897964,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12365036404643925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22854914340210716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27932961567918124,0.0,0.0,0.23371010005178305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816747265290373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620618862629724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3613060813982206,0.0,0.0,0.0,0.17584343884414108,0.07132580121659542,0.0,0.0,0.0,0.0,0.07466812607451333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2064859823720905,0.0,0.0,0.0,0.0,0.18337068081978056,0.20736941353146232,0.0,0.0,0.0,0.0,0.0,0.0,0.06292787275074391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632618814238004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2917349530181605,0.0,0.0,0.17257130644825738,0.0,0.15154289429532436,0.0,0.23571765670144076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23461601378551716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10575332028631396,0.0,0.0,0.0,0.0,0.0,0.0,0.23647075708193138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11912862275999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09345828093907685,0.21532743343601357,0.09940021082295507,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12022837955794682,0.0,0.0,0.0,0.0,0.0,0.0,0.19793811728602498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18083687950362587,0.0,0.0,0.0,0.15339641788899686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14588669227091466,0.0,0.0,0.13613845979317907,0.0,0.0,0.0,0.0,0.0,0.13498319656131277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18470415732672155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356253288462311,0.0,0.0,0.0,0.0,0.0,0.0,0.1629570157017034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11678286961663668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176154936178302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250254608176822,0.12591203029120374,0.0,0.0,0.22344395150573165,0.0,0.06540551037688573,0.0,0.30520534228460255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291058099255763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12561421026748804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06839316563381234,0.0,0.0,0.0,0.14026364487123208,0.0,0.0,0.0,0.0,0.12870260035635347,0.0
0.0,0.0933313856530019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490230239078578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13436184095173753,0.0,0.6224069029899737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17302738469363263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09974787704276378,0.0,0.20172377017484294,0.0,0.0,0.0,0.0,0.12107709824335394,0.28723746736506356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16884401822562728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17477667487203177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08650864748037955,0.0,0.0,0.0,0.4859630848944247,0.0,0.17007572696271622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19946884641774912,0.0,0.0,0.0,0.0,0.0,0.0,0.10173794687597748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11460539925320595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06227420299231638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16510256496759218,0.0,0.06334641793072598,0.17888147637240218,0.0,0.09840684908296453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12794979763153544,0.0,0.0,0.0,0.11355472715804302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05629555409884378,0.0,0.0,0.0,0.10239341222889874,0.0,0.0,0.0,0.0,0.11522863953903274,0.0,0.0,0.0,0.0,0.0,0.0,0.11554796981354001,0.0,0.0,0.0,0.0,0.0,0.0,0.12477965785601221,0.0,0.09712259812261548,0.21311484226548635,0.0,0.2171667847666877,0.0,0.0,0.0,0.0,0.04789196568614827,0.0,0.1980406298108987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10428524101513173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09546579294057508,0.0,0.17468268278709487,0.0,0.0,0.0,0.0,0.0,0.12669283586145197,0.0,0.0,0.0,0.0,0.11059835550083766,0.08406271118491379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10616726909477997,0.0,0.0,0.0,0.0,0.05238816200714914,0.0,0.0,0.0,0.0,0.7601570151687118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028523781137310623,0.0,0.0,0.0,0.0,0.11454846403887095,0.0,0.0,0.0,0.053676193671498444,0.0
